		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000  253  253  262  232  259  247  248  233  3.593705 0.891797 SUCCESS  76
100101000  262  246  254  255  225  221  233  209 15.035354 0.058462 SUCCESS  77
100110000  261  225  234  244  257  267  252  280  9.435806 0.306875 SUCCESS  78
100111000  250  235  224  233  245  237  253  251  5.758198 0.674296 SUCCESS  79
101000000  243  238  232  231  261  243  254  246  4.461648 0.813258 SUCCESS  80
101000100  233  237  230  268  255  250  260  233  6.598861 0.580464 SUCCESS  81
101001000  227  246  231  234  256  276  237  254  8.513818 0.384952 SUCCESS  82
101001100  269  276  238  269  259  262  265  252  8.269842 0.407565 SUCCESS  83
101010000  240  245  215  230  249  256  244  262  8.130594 0.420818 SUCCESS  84
101010100  276  264  244  250  267  262  249  265  6.493228 0.592159 SUCCESS  85
101011000  221  262  231  269  259  244  246  247  7.647297 0.468659 SUCCESS  86
101011100  256  263  274  238  244  276  243  271  8.808606 0.358698 SUCCESS  87
101100000  238  271  242  251  246  253  232  254  4.197762 0.838854 SUCCESS  88
101100100  267  250  234  262  241  234  259  243  4.781519 0.780652 SUCCESS  89
101101000  229  240  222  241  287  265  253  249 12.451693 0.132160 SUCCESS  90
101101100  243  255  243  256  244  255  251  249  0.917988 0.998715 SUCCESS  91
101110000  263  233  266  253  248  301  233  261 15.473010 0.050575 SUCCESS  92
101110100  247  249  259  263  250  239  255  219  5.653341 0.685998 SUCCESS  93
101111000  253  267  283  248  231  237  260  271 10.192687 0.251762 SUCCESS  94
101111100  235  239  247  250  243  279  253  248  5.204048 0.735561 SUCCESS  95
110000000  253  278  249  284  268  247  242  252  9.736412 0.284016 SUCCESS  96
110000010  250  272  240  240  232  257  228  267  7.569592 0.476600 SUCCESS  97
110000100  229  208  236  250  231  281  247  257 15.635531 0.047904 SUCCESS  98
110001000  269  277  249  226  224  244  255  257 10.149115 0.254716 SUCCESS  99
110001010  239  272  242  260  283  236  251  253  8.544202 0.382191 SUCCESS 100
110010000  243  231  274  224  275  248  246  233 10.737269 0.217035 SUCCESS 101
110010010  266  280  266  281  236  236  224  233 15.435257 0.051215 SUCCESS 102
110010100  249  263  239  261  234  242  256  229  4.998602 0.757726 SUCCESS 103
110011000  262  246  259  236  256  236  240  260  3.594739 0.891714 SUCCESS 104
110011010  235  250  268  228  247  244  245  257  4.762901 0.782591 SUCCESS 105
110100000  238  203  225  252  258  243  268  239 14.636743 0.066606 SUCCESS 106
110100010  240  237  223  242  250  272  262  239  7.488267 0.484981 SUCCESS 107
110100100  226  251  215  237  241  268  261  267 11.522335 0.173822 SUCCESS 108
110101000  226  233  257  246  261  260  243  255  5.065834 0.750517 SUCCESS 109
110101010  284  259  229  254  263  273  237  264 11.414893 0.179280 SUCCESS 110
110101100  246  270  220  243  266  255  258  226  9.455976 0.305301 SUCCESS 111
110110000  252  257  230  237  237  242  239  255  4.134925 0.844749 SUCCESS 112
110110010  237  238  241  265  216  262  248  259  8.286909 0.405958 SUCCESS 113
110110100  233  226  244  242  277  241  246  238  7.998974 0.433570 SUCCESS 114
110111000  276  245  280  259  241  283  235  269 14.235677 0.075826 SUCCESS 115
110111010  231  268  245  259  254  260  273  218 10.178982 0.252688 SUCCESS 116
110111100  248  257  289  245  228  264  236  258 10.508032 0.231162 SUCCESS 117
111000000  275  259  281  260  271  272  265  240 12.498368 0.130314 SUCCESS 118
111000010  229  227  252  230  250  278  244  239  9.571434 0.296402 SUCCESS 119
111000100  259  253  272  224  239  254  263  277  9.459208 0.305049 SUCCESS 120
111000110  241  233  262  262  227  233  227  248  8.303329 0.404415 SUCCESS 121
111001000  241  265  283  242  263  263  221  248 10.934311 0.205449 SUCCESS 122
111001010  233  295  251  247  227  247  256  260 12.405923 0.133991 SUCCESS 123
111001100  261  239  274  246  240  251  256  237  4.717131 0.787337 SUCCESS 124
111010000  238  230  227  253  251  234  237  233  7.422327 0.491826 SUCCESS 125
111010010  238  237  229  263  229  272  276  252 10.458772 0.234290 SUCCESS 126
111010100  211  246  256  272  277  251  269  266 14.089834 0.079454 SUCCESS 127
111010110  245  255  257  241  231  275  236  242  5.897576 0.658704 SUCCESS 128
111011000  290  243  251  258  242  238  250  258  8.220711 0.412213 SUCCESS 129
