		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000011011  241  233  239  249  229  247  246  242  4.218836 0.836859 SUCCESS  13
000011101  265  225  238  250  235  261  227  237  8.423960 0.393189 SUCCESS  14
000011111  241  228  233  238  254  250  249  247  4.228921 0.835901 SUCCESS  15
000100011  243  248  252  267  276  255  245  263  5.140824 0.742424 SUCCESS  16
000100101  273  254  254  265  246  262  278  266  8.229503 0.411379 SUCCESS  17
000100111  261  264  242  251  228  251  237  236  5.093374 0.747551 SUCCESS  18
000101001  265  250  285  255  295  256  255  236 15.556663 0.049183 SUCCESS  19
000101011  223  277  239  265  248  256  259  247  8.003499 0.433128 SUCCESS  20
000101101  241  263  257  284  274  269  250  269 11.404032 0.179840 SUCCESS  21
000101111  252  268  257  254  251  233  221  240  6.716000 0.567561 SUCCESS  22
000110011  270  232  241  225  234  244  261  250  7.619628 0.471479 SUCCESS  23
000110101  205  256  241  233  215  230  229  256 18.737269 0.016330 SUCCESS  24
000110111  280  248  267  261  232  253  264  226 10.012323 0.264162 SUCCESS  25
000111001  247  244  264  246  266  218  249  249  6.365228 0.606392 SUCCESS  26
000111011  252  219  238  248  269  248  250  250  6.111685 0.634723 SUCCESS  27
000111101  273  241  245  246  262  279  225  251  9.361592 0.312716 SUCCESS  28
000111111  268  236  258  271  235  293  236  261 14.140776 0.078169 SUCCESS  29
001000011  244  239  240  231  243  261  242  267  4.716485 0.787404 SUCCESS  30
001000101  235  246  235  272  262  236  252  258  5.618044 0.689929 SUCCESS  31
001000111  218  264  249  256  280  246  235  254  9.987887 0.265877 SUCCESS  32
001001011  270  258  280  253  253  270  264  247  8.233253 0.411024 SUCCESS  33
001001101  247  244  261  241  268  264  282  239  7.916614 0.441658 SUCCESS  34
001001111  245  245  241  238  248  240  247  256  1.749083 0.987762 SUCCESS  35
001010011  221  255  243  251  264  248  283  250  9.124857 0.331873 SUCCESS  36
001010101  235  266  243  242  264  245  243  253  3.610772 0.890425 SUCCESS  37
001010111  236  260  218  241  242  275  263  266 10.405632 0.237702 SUCCESS  38
001011011  214  255  254  280  258  287  267  258 16.654101 0.033919 SUCCESS  39
001011101  247  240  251  254  253  248  260  227  3.174925 0.922905 SUCCESS  40
001011111  271  260  258  262  249  235  255  229  5.964420 0.651217 SUCCESS  41
001100101  239  252  249  230  236  226  252  271  7.205632 0.514618 SUCCESS  42
001100111  262  251  274  238  239  271  250  253  5.946190 0.653260 SUCCESS  43
001101011  222  255  256  251  256  233  254  247  4.944945 0.763444 SUCCESS  44
001101101  262  253  228  247  233  276  278  254  9.979224 0.266487 SUCCESS  45
001101111  272  257  245  251  215  240  267  261  9.492178 0.302490 SUCCESS  46
001110101  272  243  249  232  266  279  252  247  8.147531 0.419193 SUCCESS  47
001110111  244  222  234  237  265  240  233  239  8.180889 0.416003 SUCCESS  48
001111011  285  252  237  267  261  264  235  247  9.265657 0.320384 SUCCESS  49
001111101  211  235  232  233  248  255  239  235 11.297107 0.185426 SUCCESS  50
001111111  250  253  242  254  214  269  235  273 10.342149 0.241828 SUCCESS  51
010000011  258  246  228  242  270  233  243  254  5.714497 0.679177 SUCCESS  52
010000111  254  225  240  242  260  226  233  247  7.350958 0.499283 SUCCESS  53
010001011  249  262  258  265  255  234  273  253  5.190473 0.737038 SUCCESS  54
010001111  264  257  241  249  241  283  225  256  8.930529 0.348190 SUCCESS  55
010010011  274  265  254  239  269  243  257  262  6.383846 0.604318 SUCCESS  56
010010111  282  251  256  261  259  258  262  238  6.690529 0.570360 SUCCESS  57
010011011  254  253  257  252  254  233  242  265  2.781616 0.947306 SUCCESS  58
010011111  252  266  244  226  226  261  244  249  6.640493 0.575870 SUCCESS  59
010100011  266  255  265  221  241  274  249  232  9.636339 0.291483 SUCCESS  60
010100111  234  246  245  233  241  235  277  287 12.370497 0.135423 SUCCESS  61
010101011  236  246  254  278  253  272  230  248  7.900453 0.443254 SUCCESS  62
010101111  233  244  238  240  241  261  260  252  3.616202 0.889987 SUCCESS  63
010110011  231  286  249  244  246  219  278  258 14.560848 0.068268 SUCCESS  64
010110111  241  231  280  263  254  279  239  238 10.896945 0.207607 SUCCESS  65
010111011  253  241  246  293  266  242  262  236 10.824283 0.211856 SUCCESS  66
010111111  253  260  256  230  241  271  254  260  4.897754 0.768446 SUCCESS  67
011000111  282  245  262  245  244  244  258  223  8.618545 0.375489 SUCCESS  68
011001111  243  281  239  260  247  241  254  244  5.681786 0.682827 SUCCESS  69
011010111  229  243  253  255  251  268  255  268  4.959426 0.761904 SUCCESS  70
011011111  259  242  235  261  234  256  262  257  4.038861 0.853600 SUCCESS  71
011101111  237  237  260  241  265  230  246  221  8.270747 0.407480 SUCCESS  72
011111111  259  237  250  245  214  256  247  248  6.696865 0.569664 SUCCESS  73
100000000  288  245  237  259  257  250  257  250  7.523176 0.481375 SUCCESS  74
100010000  260  236  251  241  245  254  221  206 13.211935 0.104763 SUCCESS  75
100100000  256  283  262  242  277  232  240  249 10.294958 0.244931 SUCCESS  76
100101000  261  251  265  243  273  259  246  245  4.337398 0.825472 SUCCESS  77
100110000  255  258  258  235  252  229  254  235  4.399071 0.819444 SUCCESS  78
100111000  251  237  244  248  262  247  249  247  1.541309 0.992000 SUCCESS  79
101000000  245  253  269  253  263  258  240  240  3.465705 0.901835 SUCCESS  80
101000100  249  255  246  254  246  257  257  242  0.977204 0.998388 SUCCESS  81
101001000  247  259  234  262  296  234  240  283 16.767620 0.032622 SUCCESS  82
101001100  239  238  276  238  234  251  238  229  7.965358 0.436861 SUCCESS  83
101010000  249  258  237  246  267  250  248  262  2.844582 0.943729 SUCCESS  84
101010100  258  282  217  212  247  227  251  244 17.352412 0.026642 SUCCESS  85
101011000  237  259  266  262  268  243  274  253  6.660921 0.573619 SUCCESS  86
101011100  238  270  227  245  236  271  250  255  7.280752 0.506667 SUCCESS  87
101100000  232  245  245  282  259  241  263  254  7.222440 0.512834 SUCCESS  88
101100100  233  252  252  256  265  231  240  242  4.477034 0.811726 SUCCESS  89
101101000  268  235  236  258  235  279  244  243  8.109002 0.422896 SUCCESS  90
101101100  225  259  211  244  264  264  275  253 13.607184 0.092596 SUCCESS  91
101110000  259  250  260  253  246  255  257  247  1.199200 0.996650 SUCCESS  92
101110100  278  244  246  230  224  257  251  243  8.316776 0.403154 SUCCESS  93
101111000  263  230  276  260  262  253  244  248  6.367943 0.606090 SUCCESS  94
101111100  247  228  226  271  268  237  256  237  9.131451 0.331329 SUCCESS  95
110000000  259  256  248  293  235  240  260  238 10.508549 0.231129 SUCCESS  96
110000010  276  235  242  261  265  264  259  254  6.643596 0.575528 SUCCESS  97
110000100  273  255  233  245  259  231  252  232  6.774440 0.561153 SUCCESS  98
110001000  259  250  243  256  267  249  224  249  4.687265 0.790419 SUCCESS  99
110001010  233  271  277  246  240  238  259  264  8.261826 0.408321 SUCCESS 100
110010000  247  255  250  239  252  241  255  238  1.689220 0.989103 SUCCESS 101
110010010  222  234  296  224  247  254  262  227 18.737915 0.016326 SUCCESS 102
110010100  240  243  248  263  264  260  246  270  4.282448 0.830783 SUCCESS 103
110011000  249  249  257  232  239  226  283  245  9.041721 0.338789 SUCCESS 104
110011010  246  226  231  250  224  249  265  273  9.858853 0.275073 SUCCESS 105
110100000  258  248  255  253  249  258  230  253  2.383653 0.966936 SUCCESS 106
110100010  242  260  248  232  260  250  268  233  4.984638 0.759217 SUCCESS 107
110100100  265  261  225  248  270  238  237  268  8.325956 0.402295 SUCCESS 108
110101000  261  256  252  254  245  277  249  257  4.065366 0.851178 SUCCESS 109
110101010  259  263  228  247  236  254  238  239  5.042949 0.752976 SUCCESS 110
110101100  240  238  253  264  264  251  278  258  6.187192 0.626273 SUCCESS 111
110110000  250  262  212  275  248  240  235  236 11.322707 0.184076 SUCCESS 112
110110010  227  269  243  256  256  243  260  258  5.065705 0.750531 SUCCESS 113
110110100  266  247  262  247  243  271  243  246  4.028905 0.854506 SUCCESS 114
110111000  266  241  266  270  247  253  259  252  4.541552 0.805262 SUCCESS 115
110111010  274  231  244  248  232  242  232  232  8.320137 0.402839 SUCCESS 116
110111100  261  217  282  255  245  253  247  257  9.729172 0.284551 SUCCESS 117
111000000  271  250  262  288  243  256  264  250  9.568202 0.296649 SUCCESS 118
111000010  252  268  267  252  264  265  255  227  6.609721 0.579265 SUCCESS 119
111000100  255  248  245  234  264  249  218  248  6.345834 0.608554 SUCCESS 120
111000110  237  243  254  246  228  243  244  263  4.082303 0.849622 SUCCESS 121
111001000  239  242  265  249  240  251  264  226  5.309293 0.724065 SUCCESS 122
111001010  261  273  249  252  284  257  242  263  8.670004 0.370894 SUCCESS 123
111001100  240  251  272  260  245  226  267  273  8.709438 0.367397 SUCCESS 124
111010000  250  226  253  231  251  238  235  234  6.493358 0.592145 SUCCESS 125
111010010  288  260  240  236  256  229  254  259  9.990473 0.265695 SUCCESS 126
111010100  255  272  256  244  246  265  237  289 10.401366 0.237977 SUCCESS 127
111010110  261  221  243  239  253  263  265  228  8.349875 0.400061 SUCCESS 128
111011000  273  252  228  280  246  247  235  214 14.324501 0.073690 SUCCESS 129
111011010  282  267  261  243  248  267  247  237  8.091160 0.424616 SUCCESS 130
111011100  245  222  257  258  246  272  250  271  7.710651 0.462233 SUCCESS 131
111100000  262  239  253  274  246  251  255  267  4.892323 0.769020 SUCCESS 132
111100010  228  270  272  250  245  233  220  269 12.174618 0.143581 SUCCESS 133
111100100  233  237  273  234  221  249  275  220 14.928428 0.060552 SUCCESS 134
111100110  249  241  237  264  243  259  245  281  6.469180 0.594828 SUCCESS 135
111101000  235  244  254  224  260  257  242  253  4.857414 0.772702 SUCCESS 136
111101010  214  273  236  233  246  258  252  267 11.097867 0.196215 SUCCESS 137
111101100  274  251  220  281  257  244  250  226 12.822117 0.118118 SUCCESS 138
111101110  257  232  257  255  243  287  241  249  8.058190 0.427807 SUCCESS 139
111110000  244  261  243  259  247  266  245  249  2.393220 0.966524 SUCCESS 140
111110010  269  263  246  230  225  268  270  232 10.836178 0.211155 SUCCESS 141
111110100  245  256  246  227  251  248  249  239  3.027661 0.932610 SUCCESS 142
111110110  268  262  236  243  269  239  259  223  8.295313 0.405168 SUCCESS 143
111111000  235  267  271  246  231  271  240  261  8.252776 0.409176 SUCCESS 144
111111010  254  259  235  243  253  240  244  251  2.136315 0.976545 SUCCESS 145
111111100  238  264  222  243  212  266  250  254 11.946287 0.153617 SUCCESS 146
111111110  259  237  250  245  215  256  247  248  6.403240 0.602159 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  258  232  271  256  251  247  233  222  8.055733 0.428045 SUCCESS   0
000000011  253  255  268  248  242  232  257  243  3.508242 0.898549 SUCCESS   1
000000101  243  216  259  239  245  237  245  263  7.419741 0.492095 SUCCESS   2
000000111  251  263  228  240  241  238  254  243  4.313996 0.827741 SUCCESS   3
000001001  273  273  226  251  251  254  261  214 12.697996 0.122672 SUCCESS   4
000001011  284  209  246  238  237  235  229  274 18.231345 0.019557 SUCCESS   5
000001101  223  270  257  267  249  256  240  232  7.976089 0.435809 SUCCESS   6
000001111  256  268  233  246  263  249  261  238  4.552929 0.804115 SUCCESS   7
000010001  286  245  251  262  253  267  232  255  8.748873 0.363922 SUCCESS   8
000010011  272  264  234  237  252  259  279  233  9.602594 0.294033 SUCCESS   9
000010101  243  231  265  245  260  240  269  237  5.749665 0.675250 SUCCESS  10
000010111  279  206  257  265  237  226  231  266 18.253972 0.019401 SUCCESS  11
000011001  262  259  252  275  249  250  248  260  3.974861 0.859384 SUCCESS  12
000011011  249  266  257  246  270  268  235  244  5.412081 0.712760 SUCCESS  13
000011101  243  262  257  260  242  252  235  239  3.126570 0.926165 SUCCESS  14
000011111  242  239  222  233  262  236  263  241  7.637859 0.469620 SUCCESS  15
000100011  262  262  238  259  271  260  245  242  4.734069 0.785584 SUCCESS  16
000100101  236  243  225  275  223  256  259  254  9.748048 0.283157 SUCCESS  17
000100111  271  256  203  231  267  264  247  243 14.850853 0.062111 SUCCESS  18
000101001  259  230  247  250  256  246  229  247  4.099628 0.848025 SUCCESS  19
000101011  236  242  255  241  264  254  238  221  6.460388 0.595805 SUCCESS  20
000101101  248  224  243  233  245  237  221  248  8.497527 0.386437 SUCCESS  21
000101111  279  236  258  240  229  228  245  274 11.281204 0.186269 SUCCESS  22
000110011  245  244  233  274  252  254  266  267  6.173358 0.627820 SUCCESS  23
000110101  237  260  229  273  271  253  271  251  8.822570 0.357484 SUCCESS  24
000110111  236  265  250  271  288  264  243  256 10.712832 0.218507 SUCCESS  25
000111001  242  269  267  272  261  267  265  281 11.575863 0.171155 SUCCESS  26
000111011  216  251  246  238  244  264  235  239  7.831669 0.450084 SUCCESS  27
000111101  273  272  277  257  250  247  242  253  7.758489 0.457410 SUCCESS  28
000111111  214  230  227  230  238  227  242  246 13.957180 0.082888 SUCCESS  29
001000011  251  250  227  292  272  248  260  263 12.631281 0.125182 SUCCESS  30
001000101  275  265  231  216  264  269  234  230 14.809737 0.062952 SUCCESS  31
001000111  261  276  269  253  270  267  224  232 11.823071 0.159274 SUCCESS  32
001001011  229  231  248  252  216  249  261  241  8.964533 0.345297 SUCCESS  33
001001101  247  261  272  247  226  243  269  246  6.724663 0.566610 SUCCESS  34
001001111  246  242  253  234  267  270  256  260  4.844356 0.774075 SUCCESS  35
001010011  249  257  245  249  258  244  248  254  0.811451 0.999182 SUCCESS  36
001010101  251  246  236  242  257  252  264  249  2.180016 0.974990 SUCCESS  37
001010111  227  265  244  257  238  250  245  241  4.501341 0.809299 SUCCESS  38
001011011  240  243  249  245  257  262  235  259  2.787305 0.946988 SUCCESS  39
001011101  252  247  257  229  224  253  244  247  5.095313 0.747342 SUCCESS  40
001011111  263  235  262  233  221  224  251  258  9.960089 0.267838 SUCCESS  41
001100101  260  266  275  246  252  212  242  244 10.529236 0.229826 SUCCESS  42
001100111  246  250  247  249  267  241  244  265  2.719426 0.950713 SUCCESS  43
001101011  233  255  239  232  258  261  272  271  7.735475 0.459727 SUCCESS  44
001101101  233  272  256  246  259  245  284  260  9.055556 0.337631 SUCCESS  45
001101111  249  247  221  253  254  270  261  249  5.784574 0.671348 SUCCESS  46
001110101  275  285  256  245  239  250  246  230 10.131661 0.255906 SUCCESS  47
001110111  237  266  237  241  235  258  253  239  4.521899 0.807238 SUCCESS  48
001111011  256  276  256  259  248  259  220  247  7.545156 0.479111 SUCCESS  49
001111101  227  266  235  205  252  265  254  246 13.630327 0.091924 SUCCESS  50
001111111  220  239  258  247  250  210  237  239 12.333002 0.136953 SUCCESS  51
010000011  250  254  275  267  264  271  257  247  6.734230 0.565560 SUCCESS  52
010000111  235  252  252  276  251  268  256  231  6.750780 0.563745 SUCCESS  53
010001011  280  240  210  233  272  252  255  241 14.408283 0.071725 SUCCESS  54
010001111  243  255  245  240  264  247  243  245  1.975345 0.981758 SUCCESS  55
010010011  265  249  265  276  246  246  225  238  7.978158 0.435607 SUCCESS  56
010010111  242  244  243  235  213  230  266  229 11.737479 0.163307 SUCCESS  57
010011011  243  229  258  274  230  257  271  229 10.180921 0.252557 SUCCESS  58
010011111  227  245  241  242  249  278  249  265  7.074400 0.528627 SUCCESS  59
010100011  230  261  246  266  271  248  293  251 12.784752 0.119473 SUCCESS  60
010100111  255  261  242  242  231  258  235  256  3.969301 0.859883 SUCCESS  61
010101011  242  244  248  264  243  264  268  255  3.702440 0.882923 SUCCESS  62
010101111  221  243  269  256  244  248  277  246  8.573164 0.379571 SUCCESS  63
010110011  262  259  281  260  258  252  253  251  5.653212 0.686013 SUCCESS  64
010110111  267  250  237  229  254  247  253  253  3.896121 0.866372 SUCCESS  65
010111011  243  246  261  230  225  272  231  251  8.505285 0.385730 SUCCESS  66
010111111  257  236  251  209  245  236  258  242  9.408137 0.309044 SUCCESS  67
011000111  223  234  261  229  259  244  264  267  8.888768 0.351766 SUCCESS  68
011001111  253  244  264  224  252  268  232  259  6.826158 0.555500 SUCCESS  69
011010111  228  245  270  239  250  265  261  266  6.755305 0.563249 SUCCESS  70
011011111  250  263  232  253  259  274  244  241  5.281366 0.727124 SUCCESS  71
011101111  230  259  227  241  227  240  233  248  8.316259 0.403203 SUCCESS  72
011111111  233  267  252  250  255  226  232  243  6.432331 0.598923 SUCCESS  73
100000000  258  232  271  256  251  247  233  222  8.055733 0.428045 SUCCESS  74
100010000  257  254  279  281  262  252  231  246  9.904622 0.271784 SUCCESS  75
100100000  253  267  249  258  259  244  276  250  4.790053 0.779762 SUCCESS  76
100101000  245  238  242  241  263  255  264  246  2.978141 0.935722 SUCCESS  77
100110000  261  234  242  226  212  280  228  229 17.721414 0.023415 SUCCESS  78
100111000  246  242  247  236  241  256  220  273  7.570497 0.476507 SUCCESS  79
101000000  263  249  255  250  249  223  239  256  4.474578 0.811971 SUCCESS  80
101000100  253  255  266  227  250  234  253  257  4.687006 0.790445 SUCCESS  81
101001000  271  253  250  267  266  268  254  272  7.538949 0.479750 SUCCESS  82
101001100  230  246  238  238  262  214  243  251  9.067321 0.336649 SUCCESS  83
101010000  256  244  268  262  256  231  242  236  4.951798 0.762715 SUCCESS  84
101010100  228  246  218  252  284  230  250  229 14.576105 0.067931 SUCCESS  85
101011000  275  262  236  244  242  241  246  250  4.807119 0.777979 SUCCESS  86
101011100  232  247  251  264  256  265  251  249  3.282885 0.915372 SUCCESS  87
101100000  247  223  240  244  244  238  250  233  5.546028 0.697935 SUCCESS  88
101100100  244  275  249  217  260  254  244  227 10.058222 0.260963 SUCCESS  89
101101000  264  258  265  260  260  250  261  257  3.547160 0.895499 SUCCESS  90
101101100  257  265  262  246  263  279  253  280  9.748824 0.283100 SUCCESS  91
101110000  265  275  260  263  249  236  236  249  6.264121 0.617673 SUCCESS  92
101110100  257  231  243  230  250  253  232  248  4.941067 0.763856 SUCCESS  93
101111000  250  226  236  240  232  269  257  251  6.643725 0.575513 SUCCESS  94
101111100  232  256  277  268  236  263  276  264 10.973358 0.203213 SUCCESS  95
110000000  252  243  240  245  231  258  248  225  5.089754 0.747942 SUCCESS  96
110000010  290  240  240  267  230  245  265  252 11.352574 0.182511 SUCCESS  97
110000100  267  220  271  243  237  261  258  266  9.473430 0.303944 SUCCESS  98
110001000  259  258  246  263  273  254  247  217  8.165244 0.417497 SUCCESS  99
110001010  276  237  241  274  268  280  235  286 17.583976 0.024571 SUCCESS 100
110010000  232  284  239  255  282  233  275  235 15.681042 0.047180 SUCCESS 101
110010010  230  223  257  246  246  243  268  245  6.647475 0.575100 SUCCESS 102
110010100  259  252  262  248  255  245  246  252  1.256089 0.996056 SUCCESS 103
110011000  250  242  242  244  237  260  255  245  1.995127 0.981161 SUCCESS 104
110011010  257  213  238  245  240  247  269  250  8.505285 0.385730 SUCCESS 105
110100000  288  245  267  237  239  259  235  256  9.891693 0.272710 SUCCESS 106
110100010  244  239  255  230  252  247  233  276  6.451208 0.596825 SUCCESS 107
110100100  269  252  246  246  269  272  247  274  7.568687 0.476693 SUCCESS 108
110101000  246  275  232  265  247  231  234  248  7.527184 0.480962 SUCCESS 109
110101010  219  244  230  274  270  242  254  235 11.075758 0.197444 SUCCESS 110
110101100  263  268  260  232  250  251  260  261  4.718295 0.787217 SUCCESS 111
110110000  244  221  247  244  252  276  238  246  7.285923 0.506121 SUCCESS 112
110110010  238  293  272  257  262  249  234  250 12.117212 0.146050 SUCCESS 113
110110100  259  256  270  259  229  257  265  255  5.542279 0.698351 SUCCESS 114
110111000  273  270  263  269  234  226  250  242  9.747014 0.283233 SUCCESS 115
110111010  235  236  272  245  269  271  232  262  9.105075 0.333510 SUCCESS 116
110111100  235  228  210  219  248  257  259  242 14.335232 0.073435 SUCCESS 117
111000000  249  260  225  259  269  254  261  241  5.736735 0.676694 SUCCESS 118
111000010  256  230  261  250  250  226  261  266  6.247442 0.619536 SUCCESS 119
111000100  245  247  227  253  254  240  246  230  4.560170 0.803384 SUCCESS 120
111000110  238  249  251  274  271  270  285  231 13.037519 0.110565 SUCCESS 121
111001000  242  281  250  243  259  250  266  245  5.945931 0.653288 SUCCESS 122
111001010  258  272  240  252  260  263  276  247  6.653422 0.574445 SUCCESS 123
111001100  234  238  246  245  270  277  243  243  6.900630 0.547391 SUCCESS 124
111010000  265  226  279  238  242  257  213  250 13.517067 0.095254 SUCCESS 125
111010010  258  258  245  247  238  233  260  239  3.373261 0.908800 SUCCESS 126
111010100  264  280  249  264  235  251  252  252  6.323855 0.611005 SUCCESS 127
111010110  269  268  252  234  257  268  257  268  7.005745 0.536013 SUCCESS 128
111011000  263  234  254  256  253  280  223  230 10.404598 0.237768 SUCCESS 129
111011010  249  240  251  258  259  239  247  249  1.562901 0.991613 SUCCESS 130
111011100  244  249  281  270  226  234  265  228 12.159362 0.144234 SUCCESS 131
111100000  246  267  224  262  257  264  247  239  6.206844 0.624075 SUCCESS 132
111100010  235  240  234  221  251  240  243  249  6.496848 0.591757 SUCCESS 133
111100100  220  243  226  229  257  236  269  240 11.044727 0.199178 SUCCESS 134
111100110  234  230  251  219  250  282  240  272 13.344331 0.100539 SUCCESS 135
111101000  254  226  272  235  205  263  238  257 15.252178 0.054424 SUCCESS 136
111101010  241  263  245  265  251  237  256  259  3.258319 0.917116 SUCCESS 137
111101100  261  292  254  260  262  252  223  233 13.107855 0.108192 SUCCESS 138
111101110  245  228  276  255  227  240  251  246  7.674836 0.465860 SUCCESS 139
111110000  239  263  229  260  272  223  269  236 10.760154 0.215663 SUCCESS 140
111110010  209  269  252  241  246  240  272  249 11.283919 0.186125 SUCCESS 141
111110100  257  234  248  242  234  258  225  261  5.948388 0.653013 SUCCESS 142
111110110  250  285  244  250  250  241  242  233  7.012210 0.535316 SUCCESS 143
111111000  239  258  246  223  264  221  260  224 11.340420 0.183146 SUCCESS 144
111111010  253  219  235  232  245  256  248  270  8.203127 0.413884 SUCCESS 145
111111100  230  266  238  241  245  226  243  234  7.383539 0.495872 SUCCESS 146
111111110  233  267  252  250  255  226  232  243  6.432331 0.598923 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  222  238  247  247  274  241  254  246  6.760606 0.562668 SUCCESS   0
000000011  254  232  246  253  277  254  265  245  5.630198 0.688576 SUCCESS   1
000000101  245  272  273  268  251  242  238  224  9.298368 0.317755 SUCCESS   2
000000111  254  277  253  260  243  234  258  259  5.400057 0.714086 SUCCESS   3
000001001  281  251  243  253  264  255  251  240  5.557277 0.696686 SUCCESS   4
000001011  259  265  277  250  216  236  253  256 10.063653 0.260587 SUCCESS   5
000001101  250  247  255  258  253  239  259  246  1.345560 0.994985 SUCCESS   6
000001111  254  261  254  262  233  250  255  255  2.634481 0.955165 SUCCESS   7
000010001  251  267  248  252  224  238  267  265  6.753754 0.563419 SUCCESS   8
000010011  276  251  262  244  254  277  238  262  7.827919 0.450458 SUCCESS   9
000010101  222  256  253  249  273  271  224  238 10.838117 0.211041 SUCCESS  10
000010111  235  255  251  236  234  242  256  250  3.317018 0.912918 SUCCESS  11
000011001  254  228  259  230  243  252  265  243  5.408331 0.713174 SUCCESS  12
000011011  258  259  257  270  241  230  269  241  6.279636 0.615940 SUCCESS  13
000011101  258  240  246  263  251  242  261  249  2.218933 0.973553 SUCCESS  14
000011111  250  243  254  243  254  258  237  238  2.094683 0.977971 SUCCESS  15
000100011  240  254  253  249  222  239  254  252  4.343604 0.824868 SUCCESS  16
000100101  252  233  227  254  247  236  240  271  6.548436 0.586040 SUCCESS  17
000100111  282  257  261  261  263  271  256  243  8.328283 0.402077 SUCCESS  18
000101001  228  276  239  256  256  252  241  237  6.646828 0.575171 SUCCESS  19
000101011  240  260  253  240  236  269  256  270  5.389972 0.715197 SUCCESS  20
000101101  226  239  272  245  252  266  258  288 12.310505 0.137878 SUCCESS  21
000101111  231  245  238  224  235  230  249  249  7.571014 0.476454 SUCCESS  22
000110011  257  261  264  248  246  265  240  263  3.646586 0.887520 SUCCESS  23
000110101  277  263  258  239  270  256  277  255  9.416541 0.308384 SUCCESS  24
000110111  257  254  255  256  250  239  254  266  2.151313 0.976018 SUCCESS  25
000111001  208  247  245  247  230  244  252  259  9.623022 0.292488 SUCCESS  26
000111011  263  288  242  245  238  222  239  249 11.384251 0.180863 SUCCESS  27
000111101  243  245  263  271  229  272  226  260  9.455071 0.305372 SUCCESS  28
000111111  236  242  237  260  254  273  238  232  6.376218 0.605168 SUCCESS  29
001000011  250  234  238  248  251  250  244  232  3.158246 0.924038 SUCCESS  30
001000101  224  258  245  244  233  255  236  244  5.565164 0.695810 SUCCESS  31
001000111  231  249  259  240  235  230  251  247  4.866335 0.771762 SUCCESS  32
001001011  260  250  206  238  227  254  245  258 11.634562 0.168269 SUCCESS  33
001001101  261  252  249  242  238  225  251  265  4.900598 0.768146 SUCCESS  34
001001111  295  246  246  238  249  256  246  243  9.530836 0.299510 SUCCESS  35
001010011  231  238  245  283  274  233  226  217 17.159119 0.028494 SUCCESS  36
001010101  265  280  210  233  254  256  263  255 13.489915 0.096068 SUCCESS  37
001010111  249  256  262  258  253  254  253  262  1.756194 0.987596 SUCCESS  38
001011011  223  235  263  241  247  262  248  274  8.013196 0.432182 SUCCESS  39
001011101  255  259  226  241  240  236  265  233  6.502279 0.591155 SUCCESS  40
001011111  262  250  243  250  230  235  254  253  3.484840 0.900363 SUCCESS  41
001100101  223  235  224  250  252  247  242  263  7.753446 0.457917 SUCCESS  42
001100111  264  237  253  251  253  277  237  262  5.904299 0.657951 SUCCESS  43
001101011  279  251  246  262  236  258  254  244  5.440396 0.709634 SUCCESS  44
001101101  277  223  274  285  264  252  238  223 17.927766 0.021775 SUCCESS  45
001101111  246  254  241  241  248  247  268  226  4.576331 0.801749 SUCCESS  46
001110101  253  238  276  261  274  238  245  213 12.676663 0.123469 SUCCESS  47
001110111  251  262  249  249  244  249  243  253  1.001253 0.998240 SUCCESS  48
001111011  240  215  264  248  257  256  278  260 10.320945 0.243218 SUCCESS  49
001111101  272  222  271  249  257  258  262  247  8.180372 0.416052 SUCCESS  50
001111111  220  249  243  265  253  251  261  223  8.415038 0.394013 SUCCESS  51
010000011  245  250  244  260  250  276  255  267  4.768202 0.782039 SUCCESS  52
010000111  253  228  250  257  239  237  271  254  5.331661 0.721611 SUCCESS  53
010001011  202  260  250  222  264  259  246  265 15.328978 0.053056 SUCCESS  54
010001111  236  240  239  250  228  284  241  238  9.435806 0.306875 SUCCESS  55
010010011  249  244  244  260  248  240  268  228  4.486602 0.810772 SUCCESS  56
010010111  289  283  217  262  229  261  273  247 20.458933 0.008732 FAILURE  57
010011011  256  283  266  249  237  241  263  218 11.689770 0.165592 SUCCESS  58
010011111  269  241  250  237  273  253  240  252  5.186077 0.737515 SUCCESS  59
